Province,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Tibet,12.99 ,12.27 ,8.50 ,8.00 ,8.37 ,5.25 ,7.11 ,2.60 ,2.39 ,4.25 ,4.97 ,5.51 ,1.68 ,1.72 ,1.21 ,1.06 ,0.89 ,0.94 ,0.82 ,0.79 
Shaanxi,22.01 ,19.75 ,13.71 ,17.42 ,15.28 ,12.79 ,17.74 ,11.04 ,11.99 ,10.68 ,10.16 ,10.56 ,9.10 ,8.68 ,7.73 ,7.46 ,6.17 ,7.23 ,6.38 ,3.95 
Gansu,17.26 ,15.71 ,11.93 ,12.59 ,13.90 ,10.72 ,12.52 ,10.31 ,9.02 ,8.90 ,8.84 ,7.52 ,4.79 ,4.49 ,3.83 ,3.30 ,4.26 ,5.67 ,4.44 ,3.05 
Qinghai,16.72 ,16.17 ,13.75 ,14.42 ,11.65 ,9.69 ,10.45 ,12.82 ,12.57 ,9.58 ,9.09 ,8.62 ,8.84 ,7.47 ,7.07 ,5.95 ,7.11 ,4.51 ,5.06 ,3.15 
Ningxia,20.17 ,18.86 ,14.14 ,13.16 ,15.72 ,15.37 ,15.24 ,10.67 ,11.25 ,9.11 ,8.96 ,9.15 ,8.36 ,7.65 ,7.43 ,7.27 ,6.82 ,7.16 ,5.53 ,5.66 
Xinjiang,19.16 ,17.80 ,14.88 ,17.23 ,18.09 ,13.73 ,14.55 ,13.25 ,12.85 ,13.44 ,14.15 ,10.64 ,9.51 ,9.70 ,8.97 ,8.69 ,8.75 ,9.89 ,10.00 ,9.88 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
